사업부(조정),부서명,대분류,중분류,Cost Elem desc,합계 : 202501,합계 : 202502,합계 : 202503,합계 : 202504,합계 : 202505,합계 : 202506,합계 : 202507,합계 : 202508,합계 : 202509, 합계 : 202510 
공통,MGT,감가상각비,비품,감가상각비_기계장치,"2,123.92","2,123.91","2,123.93","2,123.93","2,123.91","2,123.92","2,123.92","2,123.92","2,184.60","2,130.22"
공통,MGT,광고비,샘플사용,간접 샘플 수수료,0,0,0,0,0,0,0,0,0,0
공통,MGT,광고비,샘플사용,직접 샘플 수수료,0,0,0,0,0,0,0,0,0,0
공통,MGT,기타,교육훈련비,지급수수료_교육훈련비,0,0,0,"9,823.23",0,0,0,"87,054.62",0,0
공통,MGT,기타,사무용품비,소모품비_사무용품,0,0,"1,652.80",0,0,0,0,0,501.05,0
공통,MGT,기타,시내교통비,여비교통비_시내교통비,"11,298.45","11,682.38","5,080.00","8,871.28","11,680.69","12,068.03","13,835.10","13,715.46","12,959.35","14,858.95"
공통,MGT,기타,접대비,접대비,"4,023.00","49,170.00","23,222.00","9,772.10","10,107.90","21,292.00","12,862.00","19,486.00","23,794.14",0
공통,MGT,복리후생비,기타 복리후생비,복리후생비_복리,0,0,0,0,0,0,0,0,0,0
공통,MGT,복리후생비,식대,복리후생비_식대,"22,588.30","17,502.10","20,224.51","3,808.00","26,444.11","17,912.00","8,931.00","13,815.90","35,909.00","10,218.00"
공통,MGT,복리후생비,주재원,복리후생비_외국인직원복리,"382,983.31","147,277.58","103,578.49","138,942.15","95,752.38","102,409.82","181,305.22","103,659.34","63,473.32","69,850.61"
공통,MGT,인건비,"급여,성과급",인건비,"1,046,811.67","306,105.00","-544,754.60","504,439.93","504,439.95","504,439.93","504,439.93","816,487.15","323,984.00","328,474.93"
공통,MGT,인건비,퇴직급여,퇴직급여,0,0,0,0,0,0,0,0,0,0
공통,MGT,지급수수료,지급수수료(중),지급수수료_지급용역료,0,"5,000.00","7,600.00",0,0,0,0,0,0,0
공통,MGT,출장비,국내출장비,여비교통비_국내출장비,"1,600.36","1,002.31","2,185.85","18,320.42","12,125.06","1,242.94","22,297.20","1,370.62","6,580.57","10,406.66"
공통,MGT,출장비,해외출장비,여비교통비_해외출장비,"5,407.68","14,441.70","6,239.34",0,"19,627.20","7,755.90","14,551.38",0,"6,341.13",877.76
공통,MO,기타,물류비,지급수수료_퀵서비스,0,0,0,12.57,387.77,0,12.57,20.94,0,0
공통,MO,기타,사무용품비,소모품비_사무용품,0,0,0,0,0,0,0,"1,100.00",0,0
공통,MO,기타,시내교통비,여비교통비_시내교통비,198.49,568.04,144.56,153.24,429.2,158.25,378.22,110.51,223.18,257.57
공통,MO,복리후생비,기타 복리후생비,복리후생비_복리,0,0,0,0,0,0,"1,200.00",0,0,0
공통,MP(상품기획),기타,시내교통비,여비교통비_시내교통비,250.2,-67.44,0,0,0,0,0,87.28,0,0
공통,MP(상품기획),복리후생비,기타 복리후생비,복리후생비_복리,0,0,0,666,0,0,0,0,924,0
공통,Process Inovation,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,"2,260.92","2,260.88","3,064.24"
공통,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,"46,925.46","46,925.47","46,925.46","46,925.46","46,925.47","46,925.46","46,925.47","46,925.46","46,925.46","46,925.47"
공통,Process Inovation,기타,물류비,지급수수료_퀵서비스,0,0,0,41.89,8.38,8.38,0,0,0,0
공통,Process Inovation,기타,사무용품비,소모품비_사무용품,0,0,0,0,0,0,0,0,"4,831.86",0
공통,Process Inovation,기타,시내교통비,여비교통비_시내교통비,114.69,102.89,0,338.82,0,467.35,55.73,134.99,192.1,475.13
공통,Process Inovation,복리후생비,공적금,복리후생비_공적금,"13,850.00","13,850.00","13,850.00","13,850.00","13,850.00","13,850.00","13,850.00","19,326.00","21,340.00","21,156.00"
공통,Process Inovation,복리후생비,기타 복리후생비,복리후생비_복리,0,0,0,0,0,"2,190.00",0,0,0,0
공통,Process Inovation,복리후생비,사회보험,복리후생비_사회보험,"29,660.55","29,660.55","29,660.55","29,660.55","29,660.55","29,660.55","29,660.55","41,398.09","45,703.43","45,311.75"
공통,Process Inovation,복리후생비,식대,복리후생비_식대,0,0,0,80,0,0,0,0,0,279.9
공통,Process Inovation,인건비,"급여,성과급",인건비,"307,496.00","175,712.00","82,575.16","175,860.20","175,860.20","178,174.15","175,860.20","204,873.33","222,657.79","227,793.53"
